id,hname,City,state,ZIP Code,county,total_amount,year,group
1165,FOREST HILLS HOSPITAL,FOREST HILLS,NY,11375,QUEENS,20,0,low
1166,FORREST CITY MEDICAL CENTER,FORREST CITY,AR,72335,SAINT FRANCIS,22,1,medium
1167,FORREST GENERAL HOSPITAL,HATTIESBURG,MS,39404,FORREST,23,1,medium
1168,FORT DEFIANCE INDIAN HOSPITAL,FORT DEFIANCE,AZ,86504,APACHE,20,0,low
1169,FORT DUNCAN MEDICAL CENTER,EAGLE PASS,TX,78852,MAVERICK,21,0,low
1170,FORT HAMILTON HUGHES MEMORIAL HOSPITAL,HAMILTON,OH,45013,BUTLER,20,0,low
1171,FORT LOUDON MEDICAL CENTER,LENOIR CITY,TN,37772,LOUDON,21,0,low
1172,FORT MADISON COMMUNITY HOSPITAL,FORT MADISON,IA,52627,LEE,20,0,low
1173,FORT MEMORIAL HOSPITAL,FORT ATKINSON,WI,53538,JEFFERSON,21,0,low
1174,FORT SANDERS REGIONAL MEDICAL CENTER,KNOXVILLE,TN,37916,KNOX,22,1,medium
1175,FORT WALTON BEACH MEDICAL CENTER,FORT WALTON BEACH,FL,32547,OKALOOSA,21,0,low
1176,FORT WASHINGTON HOSPITAL,FORT WASHINGTON,MD,20744,PRINCE GEORGES,22,1,medium
1177,FOSTORIA COMMUNITY HOSPITAL,FOSTORIA,OH,44830,SENECA,25,1,medium
1178,FOUNDATION SURGICAL HOSPITAL OF EL PASO,EL PASO,TX,79936,EL PASO,21,0,low
1179,FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,SAN ANTONIO,TX,78240,BEXAR,20,0,low
1180,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,FOUNTAIN VALLEY,CA,92708,ORANGE,20,0,low
1181,FRANCES MAHON DEACONESS HOSPITAL,GLASGOW,MT,59230,VALLEY,33,1,medium
1182,FRANCISCAN HEALTHCARE - MUNSTER,MUNSTER,IN,46321,LAKE,112,1,medium
1183,FRANCISCAN ST ANTHONY HEALTH - CROWN POINT,CROWN POINT,IN,46307,LAKE,20,0,low
1184,FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,MICHIGAN CITY,IN,46360,LA PORTE,20,0,low
1185,FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,CRAWFORDSVILLE,IN,47933,MONTGOMERY,21,0,low
1186,FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST,LAFAYETTE,IN,47905,TIPPECANOE,21,0,low
1187,FRANCISCAN ST FRANCIS HEALTH - CARMEL,CARMEL,IN,46032,HAMILTON,118,2,high
1188,FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,INDIANAPOLIS,IN,46237,MARION,20,0,low
1189,FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE,MOORESVILLE,IN,46158,MORGAN,20,0,low
1190,FRANCISCAN ST JAMES HEALTH,OLYMPIA FIELDS,IL,60461,COOK,20,0,low
1191,FRANCISCAN ST MARGARET HEALTH - DYER,DYER,IN,46311,LAKE,21,0,low
1192,FRANCISCAN ST MARGARET HEALTH - HAMMOND,HAMMOND,IN,46320,LAKE,20,0,low
1193,FRANK R HOWARD MEMORIAL HOSPITAL,WILLITS,CA,95490,MENDOCINO,38,1,medium
1194,FRANKFORT REGIONAL MEDICAL CENTER,FRANKFORT,KY,40601,FRANKLIN,21,0,low
1195,FRANKLIN COUNTY MEDICAL CENTER,PRESTON,ID,83263,FRANKLIN,41,1,medium
1196,FRANKLIN COUNTY MEMORIAL HOSPITAL,MEADVILLE,MS,39653,FRANKLIN,40,1,medium
1197,FRANKLIN FOUNDATION HOSPITAL,FRANKLIN,LA,70538,SAINT MARY,90,1,medium
1198,FRANKLIN GENERAL HOSPITAL,HAMPTON,IA,50441,FRANKLIN,93,1,medium
1199,FRANKLIN HOSPITAL,BENTON,IL,62812,FRANKLIN,21,0,low
1200,FRANKLIN HOSPITAL,VALLEY STREAM,NY,11580,NASSAU,21,0,low
1201,FRANKLIN MEDICAL CENTER,WINNSBORO,LA,71295,FRANKLIN,24,1,medium
1202,FRANKLIN MEMORIAL HOSPITAL,FARMINGTON,ME,4938,FRANKLIN,21,0,low
1203,FRANKLIN REGIONAL HOSPITAL,FRANKLIN,NH,3235,MERRIMACK,23,1,medium
1204,FRANKLIN WOODS COMMUNITY HOSPITAL,JOHNSON CITY,TN,37604,WASHINGTON,21,0,low
1205,FREDERICK MEMORIAL HOSPITAL,FREDERICK,MD,21701,FREDERICK,20,0,low
1206,FREDONIA REGIONAL HOSPITAL,FREDONIA,KS,66736,WILSON,63,1,medium
1207,FREEMAN HEALTH SYSTEM - FREEMAN WEST,JOPLIN,MO,64804,JASPER,20,0,low
1208,FREMONT HEALTH MEDICAL CENTER,FREMONT,NE,68025,DODGE,20,0,low
1209,FRENCH HOSPITAL MEDICAL CENTER,SAN LUIS OBISPO,CA,93401,SAN LUIS OBISPO,20,0,low
1210,FRESNO HEART AND SURGICAL HOSPITAL,FRESNO,CA,93720,FRESNO,99,1,medium
1211,FRESNO SURGICAL HOSPITAL,FRESNO,CA,93710,FRESNO,109,1,medium
1212,FRESNO VA MEDICAL CENTER - VA CENTRAL CALIFORNIA,FRESNO,CA,93703,FRESNO,89,1,medium
1213,FRIO REGIONAL HOSPITAL,PEARSALL,TX,78061,FRIO,20,0,low
1214,FRISBIE MEMORIAL HOSPITAL,ROCHESTER,NH,3867,STRAFFORD,20,0,low
1215,FROEDTERT MEMORIAL LUTHERAN HOSPITAL,MILWAUKEE,WI,53226,MILWAUKEE,20,0,low
1216,FRYE REGIONAL MEDICAL CENTER,HICKORY,NC,28601,CATAWBA,21,0,low
1217,FULTON COUNTY HEALTH CENTER,WAUSEON,OH,43567,FULTON,24,1,medium
1218,FULTON COUNTY HOSPITAL,SALEM,AR,72576,FULTON,91,1,medium
1219,FULTON COUNTY MEDICAL CENTER,MCCONNELLSBURG,PA,17233,FULTON,20,0,low
1220,G.V. (SONNY) MONTGOMERY VA MEDICAL CENTER JACKSON,JACKSON,MS,39216,HINDS,113,1,medium
1221,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,35903,ETOWAH,20,0,low
1222,GALESBURG COTTAGE HOSPITAL,GALESBURG,IL,61401,KNOX,21,0,low
1223,GALION COMMUNITY HOSPITAL,GALION,OH,44833,CRAWFORD,95,1,medium
1224,GALLUP INDIAN MEDICAL CENTER,GALLUP,NM,87301,MCKINLEY,20,0,low
1225,GARDEN CITY HOSPITAL,GARDEN CITY,MI,48135,WAYNE,23,1,medium
1226,GARDEN GROVE HOSPITAL & MEDICAL CENTER,GARDEN GROVE,CA,92843,ORANGE,22,1,medium
1227,GARDEN PARK MEDICAL CENTER,GULFPORT,MS,39503,HARRISON,20,0,low
1228,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,HAWAIIAN GARDENS,CA,90716,LOS ANGELES,23,1,medium
1229,GARFIELD MEDICAL CENTER,MONTEREY PARK,CA,91754,LOS ANGELES,22,1,medium
1230,GARFIELD MEMORIAL HOSPITAL,PANGUITCH,UT,84759,GARFIELD,20,0,low
1231,GARRETT COUNTY MEMORIAL HOSPITAL,OAKLAND,MD,21550,GARRETT,22,1,medium
1232,GATEWAY MEDICAL CENTER,CLARKSVILLE,TN,37040,MONTGOMERY,20,0,low
1233,GATEWAY REGIONAL MEDICAL CENTER,GRANITE CITY,IL,62040,MADISON,20,0,low
1234,GEARY COMMUNITY HOSPITAL,JUNCTION CITY,KS,66441,GEARY,25,1,medium
1235,GEISINGER - BLOOMSBURG HOSPITAL,BLOOMSBURG,PA,17815,COLUMBIA,22,1,medium
1236,GEISINGER - COMMUNITY MEDICAL CENTER,SCRANTON,PA,18510,LACKAWANNA,21,0,low
1237,GEISINGER MEDICAL CENTER,DANVILLE,PA,17822,MONTOUR,20,0,low
1238,GEISINGER WYOMING VALLEY MEDICAL CENTER,WILKES BARRE,PA,18711,LUZERNE,20,0,low
1239,GEISINGER-LEWISTOWN HOSPITAL,LEWISTOWN,PA,17044,MIFFLIN,23,1,medium
1240,GENESIS HEALTH SYSTEM,SILVIS,IL,61282,ROCK ISLAND,21,0,low
1241,GENESIS HOSPITAL,ZANESVILLE,OH,43701,MUSKINGUM,22,1,medium
1242,"GENESIS MEDICAL CENTER, ALEDO",ALEDO,IL,61231,MERCER,119,2,high
1243,GENESIS MEDICAL CENTER-DAVENPORT,DAVENPORT,IA,52803,SCOTT,21,0,low
1244,GENESIS MEDICAL CENTER-DEWITT,DEWITT,IA,52742,CLINTON,20,0,low
1245,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,GRAND BLANC,MI,48439,GENESEE,20,0,low
1246,GENEVA GENERAL HOSPITAL,GENEVA,NY,14456,ONTARIO,21,0,low
1247,GEORGE C GRAPE COMMUNITY HOSPITAL,HAMBURG,IA,51640,FREMONT,25,1,medium
1248,GEORGE L MEE MEMORIAL HOSPITAL,KING CITY,CA,93930,MONTEREY,23,1,medium
1249,GEORGE REGIONAL HEALTH SYSTEM,LUCEDALE,MS,39452,GEORGE,23,1,medium
1250,GEORGE WASHINGTON UNIV HOSPITAL,WASHINGTON,DC,20037,DISTRICT OF COLUMBIA,20,0,low
1251,GEORGETOWN COMMUNITY HOSPITAL,GEORGETOWN,KY,40324,SCOTT,20,0,low
1252,GEORGIANA MEDICAL CENTER,GEORGIANA,AL,36033,BUTLER,22,1,medium
1253,GERALD CHAMPION REGIONAL MEDICAL CENTER,ALAMOGORDO,NM,88310,OTERO,22,1,medium
1254,GETTYSBURG HOSPITAL,GETTYSBURG,PA,17325,ADAMS,20,0,low
1255,GHS  LAURENS COUNTY MEMORIAL HOSPITAL,CLINTON,SC,29325,LAURENS,20,0,low
1256,GHS GREENVILLE MEMORIAL HOSPITAL,GREENVILLE,SC,29605,GREENVILLE,21,0,low
1257,GHS GREER MEMORIAL HOSPITAL,GREER,SC,29650,GREENVILLE,20,0,low
1258,GHS OCONEE MEMORIAL  HOSPITAL,SENECA,SC,29672,OCONEE,24,1,medium
1259,GHS PATEWOOD MEMORIAL HOSPITAL,GREENVILLE,SC,29615,GREENVILLE,116,2,high
1260,GHS-HILLCREST MEMORIAL HOSPITAL,SIMPSONVILLE,SC,29681,GREENVILLE,22,1,medium
1261,GIBSON COMMUNITY HOSPITAL,GIBSON CITY,IL,60936,FORD,112,1,medium
1262,GIBSON GENERAL HOSPITAL,PRINCETON,IN,47670,GIBSON,70,1,medium
1263,GIFFORD MEDICAL CENTER,RANDOLPH,VT,5060,ORANGE,113,1,medium
1264,GILA REGIONAL MEDICAL CENTER,SILVER CITY,NM,88061,GRANT,21,0,low
1265,GILBERT HOSPITAL,GILBERT,AZ,85295,MARICOPA,20,0,low
1266,GIRARD MEDICAL CENTER,GIRARD,KS,66743,CRAWFORD,33,1,medium
1267,GLACIAL RIDGE HOSPITAL,GLENWOOD,MN,56334,POPE,25,1,medium
1268,GLEN COVE HOSPITAL,GLEN COVE,NY,11542,NASSAU,20,0,low
1269,GLEN ROSE MEDICAL CENTER,GLEN ROSE,TX,76043,SOMERVELL,21,0,low
1270,GLENBEIGH,ROCK CREEK,OH,44084,ASHTABULA,110,1,medium
1271,GLENCOE REGIONAL HEALTH SERVICES,GLENCOE,MN,55336,MCLEOD,20,0,low
1272,GLENDALE ADVENTIST MEDICAL CENTER,GLENDALE,CA,91206,LOS ANGELES,21,0,low
1273,GLENDALE MEM HOSPITAL & HLTH CENTER,GLENDALE,CA,91204,LOS ANGELES,21,0,low
1274,GLENDORA COMMUNITY HOSPITAL,GLENDORA,CA,91740,LOS ANGELES,20,0,low
1275,GLENN MEDICAL CENTER,WILLOWS,CA,95988,GLENN,87,1,medium
1276,GLENS FALLS HOSPITAL,GLENS FALLS,NY,12801,WARREN,22,1,medium
1277,GLENWOOD REGIONAL MEDICAL CENTER,WEST MONROE,LA,71291,OUACHITA,25,1,medium
1278,GNADEN HUETTEN MEMORIAL HOSPITAL,LEHIGHTON,PA,18235,CARBON,21,0,low
1279,GOLDEN PLAINS COMMUNITY HOSPITAL,BORGER,TX,79007,HUTCHINSON,56,1,medium
1280,GOLDEN VALLEY MEMORIAL HOSPITAL,CLINTON,MO,64735,HENRY,20,0,low
1281,GOLETA VALLEY COTTAGE HOSPITAL,SANTA BARBARA,CA,93111,SANTA BARBARA,21,0,low
1282,GOOD SAMARITAN HEALTH CENTER,MERRILL,WI,54452,LINCOLN,20,0,low
1283,GOOD SAMARITAN HOSPITAL,SAN JOSE,CA,95124,SANTA CLARA,20,0,low
1284,GOOD SAMARITAN HOSPITAL,LOS ANGELES,CA,90017,LOS ANGELES,20,0,low
1285,GOOD SAMARITAN HOSPITAL,VINCENNES,IN,47591,KNOX,20,0,low
1286,GOOD SAMARITAN HOSPITAL,DAYTON,OH,45406,MONTGOMERY,20,0,low
1287,GOOD SAMARITAN HOSPITAL,CINCINNATI,OH,45220,HAMILTON,20,0,low
1288,GOOD SAMARITAN HOSPITAL,LEBANON,PA,17042,LEBANON,22,1,medium
1289,GOOD SAMARITAN HOSPITAL,BAKERSFIELD,CA,93308,KERN,102,1,medium
1290,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,WEST ISLIP,NY,11795,SUFFOLK,22,1,medium
1291,GOOD SAMARITAN HOSPITAL OF SUFFERN,SUFFERN,NY,10901,ROCKLAND,20,0,low
1292,GOOD SAMARITAN MEDICAL CENTER,LAFAYETTE,CO,80026,BOULDER,20,0,low
1293,GOOD SAMARITAN MEDICAL CENTER,WEST PALM BEACH,FL,33401,PALM BEACH,20,0,low
1294,GOOD SAMARITAN MEDICAL CENTER,BROCKTON,MA,2301,PLYMOUTH,20,0,low
1295,GOOD SAMARITAN REGIONAL HLTH CENTER,MOUNT VERNON,IL,62864,JEFFERSON,22,1,medium
1296,GOOD SAMARITAN REGIONAL MEDICAL CENTER,CORVALLIS,OR,97330,BENTON,20,0,low
1297,GOOD SHEPHERD MEDICAL CENTER,LONGVIEW,TX,75601,GREGG,20,0,low
1298,GOOD SHEPHERD MEDICAL CENTER,HERMISTON,OR,97838,UMATILLA,26,1,medium
1299,GOOD SHEPHERD MEDICAL CENTER MARSHALL,MARSHALL,TX,75670,HARRISON,22,1,medium
1300,GOODALL WITCHER HOSPITAL,CLIFTON,TX,76634,BOSQUE,21,0,low
1301,GORDON HOSPITAL,CALHOUN,GA,30701,GORDON,21,0,low
1302,GORDON MEMORIAL HOSPITAL DISTRICT,GORDON,NE,69343,SHERIDAN,120,2,high
1303,GOTHENBURG MEMORIAL HOSPITAL,GOTHENBURG,NE,69138,DAWSON,100,1,medium
1304,GOUVERNEUR HOSPITAL,GOUVERNEUR,NY,13642,SAINT LAWRENCE,104,1,medium
1305,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR,ST CROIX,VI,820,,68,1,medium
1306,GRACE COTTAGE HOSPITAL,TOWNSHEND,VT,5353,WINDHAM,94,1,medium
1307,GRACE MEDICAL CENTER,LUBBOCK,TX,79412,LUBBOCK,23,1,medium
1308,GRADY GENERAL HOSPITAL,CAIRO,GA,39828,GRADY,20,0,low
1309,GRADY MEMORIAL HOSPITAL,ATLANTA,GA,30303,FULTON,20,0,low
1310,GRADY MEMORIAL HOSPITAL,DELAWARE,OH,43015,DELAWARE,20,0,low
1311,GRADY MEMORIAL HOSPITAL,CHICKASHA,OK,73018,GRADY,21,0,low
1312,GRAFTON CITY HOSPITAL,GRAFTON,WV,26354,TAYLOR,75,1,medium
1313,GRAHAM COUNTY HOSPITAL,HILL CITY,KS,67642,GRAHAM,35,1,medium
1314,GRAHAM HOSPITAL ASSOCIATION,CANTON,IL,61520,FULTON,20,0,low
1315,GRAHAM REGIONAL MEDICAL CENTER,GRAHAM,TX,76450,YOUNG,20,0,low
1316,GRAND ITASCA CLINIC AND HOSPITAL,GRAND RAPIDS,MN,55744,ITASCA,21,0,low
1317,GRAND JUNCTION VA MEDICAL CENTER,GRAND JUNCTION,CO,81501,MESA,120,2,high
1318,GRAND LAKE HEALTH SYSTEM,SAINT MARYS,OH,45885,AUGLAIZE,21,0,low
1319,GRAND RIVER MEDICAL CENTER,RIFLE,CO,81650,GARFIELD,114,1,medium
1320,GRAND STRAND REGIONAL MEDICAL CENTER,MYRTLE BEACH,SC,29572,HORRY,20,0,low
1321,GRAND VIEW HOSPITAL,SELLERSVILLE,PA,18960,BUCKS,20,0,low
1322,GRANDE RONDE HOSPITAL,LA GRANDE,OR,97850,UNION,96,1,medium
1323,GRANDVIEW HOSPITAL & MEDICAL CENTER,DAYTON,OH,45405,MONTGOMERY,20,0,low
1324,GRANT MEDICAL CENTER,COLUMBUS,OH,43215,FRANKLIN,20,0,low
1325,GRANT MEMORIAL HOSPITAL,PETERSBURG,WV,26847,GRANT,42,1,medium
1326,GRANT REGIONAL HEALTH CENTER,LANCASTER,WI,53813,GRANT,20,0,low
1327,GRANVILLE HEALTH SYSTEMS,OXFORD,NC,27565,GRANVILLE,23,1,medium
1328,GRAYS HARBOR COMMUNITY HOSPITAL,ABERDEEN,WA,98520,GRAYS HARBOR,21,0,low
1329,GREAT BEND REGIONAL HOSPITAL,GREAT BEND,KS,67530,BARTON,20,0,low
1330,GREAT FALLS CLINIC MEDICAL CENTER,GREAT FALLS,MT,59405,CASCADE,87,1,medium
1331,GREAT PLAINS HEALTH,NORTH PLATTE,NE,69101,LINCOLN,20,0,low
1332,GREAT PLAINS REGIONAL MEDICAL CENTER,ELK CITY,OK,73644,BECKHAM,21,0,low
1333,GREAT RIVER MEDICAL CENTER,WEST BURLINGTON,IA,52655,DES MOINES,20,0,low
1334,GREAT RIVER MEDICAL CENTER,BLYTHEVILLE,AR,72315,MISSISSIPPI,21,0,low
1335,GREATER BALTIMORE MEDICAL CENTER,BALTIMORE,MD,21204,BALTIMORE,21,0,low
1336,GREATER EL MONTE COMMUNITY HOSPITAL,SOUTH EL MONTE,CA,91733,LOS ANGELES,20,0,low
1337,GREATER REGIONAL MEDICAL CENTER,CRESTON,IA,50801,UNION,20,0,low
1338,GREEN CLINIC SURGICAL HOSPITAL,RUSTON,LA,71270,LINCOLN,107,1,medium
1339,GREENBRIER VALLEY MEDICAL CENTER,RONCEVERTE,WV,24970,GREENBRIER,21,0,low
1340,GREENE COUNTY GENERAL HOSPITAL,LINTON,IN,47441,GREENE,92,1,medium
1341,GREENE COUNTY HOSPITAL,EUTAW,AL,35462,GREENE,21,0,low
1342,GREENE COUNTY MEDICAL CENTER,JEFFERSON,IA,50129,GREENE,105,1,medium
1343,GREENE MEMORIAL HOSPITAL,XENIA,OH,45385,GREENE,20,0,low
1344,GREENVIEW REGIONAL HOSPITAL,BOWLING GREEN,KY,42104,WARREN,22,1,medium
1345,GREENVILLE REGIONAL HOSPITAL,GREENVILLE,IL,62246,BOND,20,0,low
1346,GREENWICH HOSPITAL ASSOCIATION,GREENWICH,CT,6830,FAIRFIELD,20,0,low
1347,GREENWOOD COUNTY HOSPITAL,EUREKA,KS,67045,GREENWOOD,47,1,medium
1348,GREENWOOD LEFLORE HOSPITAL,GREENWOOD,MS,38930,LEFLORE,20,0,low
1349,GRIFFIN HOSPITAL,DERBY,CT,6418,NEW HAVEN,20,0,low
1350,GRINNELL REGIONAL MEDICAL CENTER,GRINNELL,IA,50112,POWESHIEK,20,0,low
1351,GRITMAN MEDICAL CENTER,MOSCOW,ID,83843,LATAH,33,1,medium
1352,GROSSMONT HOSPITAL,LA MESA,CA,91942,SAN DIEGO,22,1,medium
1353,GROUP HEALTH CENTRAL HOSPITAL,SEATTLE,WA,98112,KING,20,0,low
1354,GROVE CITY MEDICAL CENTER,GROVE CITY,PA,16127,MERCER,20,0,low
1355,GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,36451,CLARKE,21,0,low
1356,GRUNDY COUNTY MEMORIAL HOSPITAL,GRUNDY CENTER,IA,50638,GRUNDY,23,1,medium
1357,GUADALUPE COUNTY HOSPITAL,SANTA ROSA,NM,88435,GUADALUPE,23,1,medium
1358,GUADALUPE REGIONAL MEDICAL CENTER,SEGUIN,TX,78155,GUADALUPE,21,0,low
1359,GUAM MEMORIAL HOSPITAL AUTHORITY,TAMUNING,GU,96913,,26,1,medium
1360,GULF BREEZE HOSPITAL,GULF BREEZE,FL,32561,SANTA ROSA,22,1,medium
1361,GULF COAST MEDICAL CENTER,WHARTON,TX,77488,WHARTON,23,1,medium
1362,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM,FORT MYERS,FL,33912,LEE,20,0,low
1363,GULF COAST REGIONAL MEDICAL CENTER,PANAMA CITY,FL,32405,BAY,20,0,low
1364,GUNDERSEN BOSCOBEL AREA HOSPITAL AND CLINICS,BOSCOBEL,WI,53805,GRANT,27,1,medium
1365,GUNDERSEN LUTHERAN MEDICAL CENTER,LA CROSSE,WI,54601,LA CROSSE,21,0,low
1366,GUNNISON VALLEY HOSPITAL,GUNNISON,CO,81230,GUNNISON,29,1,medium
1367,GUNNISON VALLEY HOSPITAL,GUNNISON,UT,84634,SANPETE,89,1,medium
1368,GUTTENBERG MUNICIPAL HOSPITAL,GUTTENBERG,IA,52052,CLAYTON,113,1,medium
1369,GWINNETT MEDICAL CENTER,LAWRENCEVILLE,GA,30045,GWINNETT,21,0,low
1370,H B MAGRUDER MEMORIAL HOSPITAL,PORT CLINTON,OH,43452,OTTAWA,28,1,medium
1371,H C WATKINS MEMORIAL HOSPITAL INC,QUITMAN,MS,39355,CLARKE,28,1,medium
1372,HABERSHAM COUNTY MEDICAL CTR,DEMOREST,GA,30535,HABERSHAM,20,0,low
1373,HACKENSACK UNIVERSITY MEDICAL CENTER,HACKENSACK,NJ,7601,BERGEN,22,1,medium
1374,HACKENSACK-UMC AT PASCACK VALLEY,WESTWOOD,NJ,7675,BERGEN,21,0,low
1375,HACKENSACK-UMC MOUNTAINSIDE,MONTCLAIR,NJ,7042,ESSEX,20,0,low
1376,HACKETTSTOWN REGIONAL MEDICAL CENTER,HACKETTSTOWN,NJ,7840,WARREN,20,0,low
1377,HAHNEMANN UNIVERSITY HOSPITAL,PHILADELPHIA,PA,19102,PHILADELPHIA,20,0,low
1378,HALE COUNTY HOSPITAL,GREENSBORO,AL,36744,HALE,21,0,low
1379,HALIFAX HEALTH MEDICAL CENTER,DAYTONA BEACH,FL,32114,VOLUSIA,22,1,medium
1380,HALIFAX REGIONAL MEDICAL CENTER INC,ROANOKE RAPIDS,NC,27870,HALIFAX,21,0,low
1381,HALLMARK HEALTH SYSTEM,MELROSE,MA,2176,MIDDLESEX,20,0,low
1382,HAMILTON GENERAL HOSPITAL,HAMILTON,TX,76531,HAMILTON,21,0,low
1383,HAMILTON HOSPITAL,OLNEY,TX,76374,YOUNG,104,1,medium
1384,HAMILTON MEDICAL CENTER,DALTON,GA,30720,WHITFIELD,21,0,low
1385,HAMILTON MEMORIAL HOSPITAL DISTRICT,MCLEANSBORO,IL,62859,HAMILTON,117,2,high
1386,HAMLIN MEMORIAL HOSPITAL,HAMLIN,TX,79520,JONES,21,0,low
1387,HAMMOND HENRY HOSPITAL,GENESEO,IL,61254,HENRY,116,2,high
1388,HAMPSHIRE MEMORIAL HOSPITAL,ROMNEY,WV,26757,HAMPSHIRE,116,2,high
1389,HAMPTON REGIONAL MEDICAL CENTER,VARNVILLE,SC,29944,HAMPTON,25,1,medium
1390,HAMPTON VA MEDICAL CENTER,HAMPTON,VA,23667,HAMPTON CITY,113,1,medium
1391,HANCOCK MEDICAL CENTER,BAY SAINT LOUIS,MS,39521,HANCOCK,20,0,low
1392,HANCOCK REGIONAL HOSPITAL,GREENFIELD,IN,46140,HANCOCK,20,0,low
1393,HANNIBAL REGIONAL HOSPITAL,HANNIBAL,MO,63401,MARION,22,1,medium
1394,HANOVER HOSPITAL,HANOVER,PA,17331,YORK,22,1,medium
1395,HANSEN FAMILY HOSPITAL,IOWA FALLS,IA,50126,HARDIN,119,2,high
1396,HANSFORD COUNTY HOSPITAL,SPEARMAN,TX,79081,HANSFORD,22,1,medium
1397,HARBOR BEACH COMMUNITY HOSPITAL,HARBOR BEACH,MI,48441,HURON,25,1,medium
1398,HARBORVIEW MEDICAL CENTER,SEATTLE,WA,98104,KING,20,0,low
1399,HARDIN COUNTY GENERAL HOSPITAL,ROSICLARE,IL,62982,HARDIN,30,1,medium
1400,HARDIN MEDICAL CENTER,SAVANNAH,TN,38372,HARDIN,20,0,low
1401,HARDIN MEMORIAL HOSPITAL,ELIZABETHTOWN,KY,42701,HARDIN,23,1,medium
1402,HARDIN MEMORIAL HOSPITAL,KENTON,OH,43326,HARDIN,70,1,medium
1403,HARDTNER MEDICAL CENTER,OLLA,LA,71465,LA SALLE,101,1,medium
1404,HARDY WILSON MEMORIAL HOSPITAL CAH,HAZLEHURST,MS,39083,COPIAH,28,1,medium
1405,HARLAN ARH HOSPITAL,HARLAN,KY,40831,HARLAN,21,0,low
1406,HARLEM HOSPITAL CENTER,NEW YORK,NY,10037,NEW YORK,20,0,low
1407,HARLINGEN MEDICAL CENTER,HARLINGEN,TX,78550,CAMERON,21,0,low
1408,HARMON MEMORIAL HOSPITAL,HOLLIS,OK,73550,HARMON,21,0,low
1409,HARNEY DISTRICT HOSPITAL,BURNS,OR,97720,HARNEY,31,1,medium
1410,HARPER COUNTY COMMUNITY HOSPITAL,BUFFALO,OK,73834,HARPER,20,0,low
1411,HARPER HOSPITAL DISTRICT NO 5,HARPER,KS,67058,HARPER,85,1,medium
1412,HARPER UNIVERSITY HOSPITAL,DETROIT,MI,48201,WAYNE,20,0,low
1413,HARRINGTON MEMORIAL HOSPITAL,SOUTHBRIDGE,MA,1550,WORCESTER,20,0,low
1414,HARRIS HEALTH SYSTEM,HOUSTON,TX,77054,HARRIS,23,1,medium
1415,HARRIS REGIONAL HOSPITAL,SYLVA,NC,28779,JACKSON,21,0,low
1416,HARRISBURG MEDICAL CENTER,HARRISBURG,IL,62946,SALINE,21,0,low
1417,HARRISON COMMUNITY HOSPITAL,CADIZ,OH,43907,HARRISON,32,1,medium
1418,HARRISON COUNTY COMMUNITY HOSPITAL,BETHANY,MO,64424,HARRISON,114,1,medium
1419,HARRISON COUNTY HOSPITAL,CORYDON,IN,47112,HARRISON,29,1,medium
1420,HARRISON MEMORIAL HOSPITAL,CYNTHIANA,KY,41031,HARRISON,20,0,low
1421,HARRISON MEMORIAL HOSPITAL,BREMERTON,WA,98310,KITSAP,21,0,low
1422,HARTFORD HOSPITAL,HARTFORD,CT,6102,HARTFORD,22,1,medium
1423,HARTON REGIONAL MEDICAL CENTER,TULLAHOMA,TN,37388,COFFEE,20,0,low
1424,HASKELL MEMORIAL HOSPITAL,HASKELL,TX,79521,HASKELL,95,1,medium
1425,HAVASU REGIONAL MEDICAL CENTER,LAKE HAVASU CITY,AZ,86403,MOHAVE,21,0,low
1426,HAYES GREEN BEACH MEMORIAL HOSPITAL,CHARLOTTE,MI,48813,EATON,28,1,medium
1427,HAYS MEDICAL CENTER,HAYS,KS,67601,ELLIS,20,0,low
1428,HAYWARD AREA MEMORIAL HOSPITAL,HAYWARD,WI,54843,SAWYER,36,1,medium
1429,HAYWOOD REGIONAL MEDICAL CENTER,CLYDE,NC,28721,HAYWOOD,21,0,low
1430,HAZARD ARH REGIONAL MEDICAL CENTER,HAZARD,KY,41701,PERRY,21,0,low
1431,HAZEL HAWKINS MEMORIAL HOSPITAL,HOLLISTER,CA,95023,SAN BENITO,21,0,low
1432,HEALDSBURG DISTRICT HOSPITAL,HEALDSBURG,CA,95448,SONOMA,95,1,medium
1433,HEALTH CENTRAL,OCOEE,FL,34761,ORANGE,23,1,medium
1434,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,KINGSTON,NY,12401,ULSTER,20,0,low
